contraction,expansion
ka,kakak
kabor,kabur
kabur,pergi
mlayu,pergi
kacian,kasihan
mesake,kasihan
welas,kasihan
kampret,sialan
asem,sialan
asu,anjing
kasian,kasihan
kayaknya,sepertinya
koyoke,sepertinya
ketoke,sepertinya
keknya,sepertinya
kykny,sepertinya
kyknya,sepertinya
kbr,kabar
pawarto,kabar
kburu,keburu
keburu,terlanjur
kcl,kecil
cilik,kecil
alit,kecil
kcuali,kecuali
kajaba,kecuali
kdg,kadang
kadang2,kadang-kadang
kederr,bingung
mumet,bingung
pusing,bingung
lieur,bingung
keles,kali
kemaren,kemarin
wingi,kemarin
kempot,kempes
kenceng,kencang
banter,kencang
kene,kena
kenen,keren
kepo,ingin tahu
serba ingin tahu,ingin tahu
kerad,keras
atos,keras
kesel,kesal
mangkel,kesal
jengkel,kesal
ketauan,ketahuan
konangan,ketahuan
k Habs,kehabisan
kehabisan,habis
keentekan,habis
kicep,diam
meneng,diam
kendel,diam
kimpoi,kawin
kawin,menikah
nikah,menikah
rabi,menikah
klian,kalian
sampean,kalian
klmtn,kalimantan
kmps,kampus
kmrn,kemarin
kn,kan
knl,kenal
tepang,kenal
kntl,kontol
ko,kok
lah kok,kok
kocag,kocak
kocak,lucu
ngakak,tertawa
ngguyu,tertawa
kompi,komputer
kongkow,kumpul-kumpul
kumpul,berkumpul
ngumpul,berkumpul
kopdar,kopi darat
ketemuan,bertemu
ketemu,bertemu
korup,korupsi
kpn,kapan
kramas,keramas
kreatip,kreatif
krezi,gila
krg,kurang
krj,kerja
krja,kerja
krumah,ke rumah
ksl,kesal
kt,kita
awake dewe,kita
kta,kata
omongan,kata
ucapan,kata
ktmu,ketemu
ktr,kantor
ktwa,tertawa
kul,kuliah
kurng,kurang
kusus,khusus
spesial,khusus
kw,imitasi
tiruan,imitasi
palsu,imitasi
kwkwkwk,tertawa
la,lah
laka,kecelakaan
ciloko,kecelakaan
lamo,lama
suwe,lama
bablas,lancar
laper,lapar
luwe,lapar
ngeleh,lapar
lapo,laporan
latian,latihan
gladhen,latihan
lebay,berlebihan
alay,berlebihan
nggilani,berlebihan
lesbi,lesbian
lht,lihat
liat,lihat
ndelok,lihat
nonton,menonton
melihat,lihat
lm,lama
lngsg,langsung
lol,tertawa
telmi,lambat berpikir
low,rendah
andhap,rendah
luchu,lucu
lali,lupa
supe,lupa
luthu,lucu
lwt,lewat
liwat,lewat
m,mas
maap,maaf
sori,maaf
sorry,maaf
punten,maaf
pangapunten,maaf
sepuro,maaf
macem,macam
macam,jenis
madesu,masa depan suram
maen,main
maenan,mainan
dolanan,mainan
mak,ibu
emak,ibu
simok,ibu
biyung,ibu
mama,ibu
bunda,ibu
make,pakai
nganggo,pakai
agem,pakai
makin,semakin
maleh,malah
malem,malam
wengi,malam
dalu,malam
mam,makan
mangan,makan
dhahar,makan
maem,makan
mane,mana
endi,mana
pundi,mana
mang,memang
mantul,mantap betul
manut,nurut
nurut,patuh
marketing,pemasaran
mosok,masa
masala,masalah
perkoro,masalah
problem,masalah
masbro,kakak
masukin,memasukkan
nglebokne,memasukkan
matiin,matikan
pateni,matikan
mba,mbak
mbl,mobil
montor,mobil
mbo,tidak tahu
mboh,tidak tahu
embuh,tidak tahu
ra ngerti,tidak tahu
mending,lebih baik
luwih apik,lebih baik
mendingan,lebih baik
mepet,mendesak
urgent,mendesak
